activity_id,molregno,molecule_chembl_id,assay_id,assay_chembl_id,tid,target_chembl_id,target_name,target_type,standard_type,standard_value,standard_units,pchembl_value,assay_type,confidence_score,canonical_smiles,standard_inchi_key,pActivity,MolecularWeight,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumHDonors,NumHAcceptors,LogP,TPSA,NumAromaticRings,NumAliphaticRings,NumRings,AromaticProportion,NumRotatableBonds,NumSaturatedRings,FractionCSP3,MolMR,Lipinski_Violation
27424460,3174731,CHEMBL5957730,2590406,CHEMBL5733105,11177,CHEMBL3130,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",SINGLE PROTEIN,IC50,590.0,nM,6.23,B,9,CCn1c(-c2cnc(C)nc2)nc2c(NC3(C(=O)N4CCC(F)(F)CC4)CC3)ncnc21,WUSFKSLKTSQWQP-UHFFFAOYSA-N,6.229147988357855,442.4740000000003,32,32,11,1,8,2.8138200000000007,101.72,3,2,5,0.46875,5,2,0.5238095238095238,113.10870000000004,0
17657976,1986742,CHEMBL3653908,1528550,CHEMBL3706125,11213,CHEMBL3880,Heat shock protein HSP 90-alpha,SINGLE PROTEIN,IC50,140.0,nM,6.85,B,9,CCNc1cc(-c2nc(C(F)(F)F)nc3c(-n4cnc(-c5cnn(C)c5)c4)cccc23)ccc1C(N)=O,GMXQOMKLBNIAOO-UHFFFAOYSA-N,6.853871964321762,506.4920000000002,37,37,12,2,8,4.432500000000003,116.54000000000002,5,0,5,0.7027027027027027,6,0,0.16,131.9816,1
15757552,1968502,CHEMBL3628547,1524690,CHEMBL3631084,13061,CHEMBL335,Tyrosine-protein phosphatase non-receptor type 1,SINGLE PROTEIN,IC50,104000.0,nM,,B,9,O=C(O)c1ccc(CN2C(=O)/C(=C\c3ccc(O)cc3)N(Cc3ccccc3)C2=O)cc1,KTVXDNLLXVKCME-HYARGMPZSA-N,3.9829666607012197,428.44400000000013,32,32,7,2,4,4.095900000000003,98.15,3,1,4,0.5625,6,1,0.08,117.4161,0
29040815,3171659,CHEMBL5954658,2596799,CHEMBL5739498,11523,CHEMBL3864,Tyrosine-protein phosphatase non-receptor type 11,SINGLE PROTEIN,IC50,120.0,nM,6.92,B,9,NC(=O)c1nc(N2CCC3(CCC[C@H]3N)CC2)nc(N)c1-c1cccc(Cl)c1Cl,YIRKZPIRDBGPMD-CYBMUJFWSA-N,6.920818753952375,435.35900000000015,29,29,9,3,6,3.229300000000001,124.15,2,2,4,0.41379310344827586,3,2,0.45,116.1247,0
27777611,3220761,CHEMBL6003760,2591814,CHEMBL5734513,100097,CHEMBL5251,Tyrosine-protein kinase BTK,SINGLE PROTEIN,IC50,1.0,nM,9.0,B,9,C#CC(=O)N1CC(Oc2c(N)ncnc2-c2cc(F)cc(NC(=O)c3ccc(C4CC4)cc3F)c2C)C1,QJBQWISHZODVKF-UHFFFAOYSA-N,9.0,503.5090000000003,37,37,10,2,6,3.664920000000002,110.44,3,2,5,0.4864864864864865,6,2,0.25925925925925924,132.73259999999996,1
25529647,2878638,CHEMBL5438470,2329963,CHEMBL5340427,117391,CHEMBL4105786,B-cell lymphoma 6 protein,SINGLE PROTEIN,IC50,5.5,nM,8.26,B,9,Cn1c(=O)c2c(c3cc(Nc4nc(N5CCC5)ncc4Cl)ccc31)N[C@@H](C1CC1)C(F)(F)CO2,SMBGAUXQNOXKIW-IBGZPJMESA-N,8.259637310505756,488.92600000000016,34,34,11,2,8,4.153800000000002,84.31,3,3,6,0.47058823529411764,4,2,0.43478260869565216,126.92040000000004,0
27627152,3189728,CHEMBL5972727,2591157,CHEMBL5733856,104279,CHEMBL1795199,Receptor-interacting serine/threonine-protein kinase 3,SINGLE PROTEIN,IC50,65.0,nM,7.19,B,9,Cc1cc(Cn2c3c(c(-c4cccc(NC(=O)OC(C)(C)C)c4)c2-c2ccncc2)C(=O)NCC3)n(C)n1,HLSNQTBNUHWESY-UHFFFAOYSA-N,7.187086643357144,512.6140000000003,38,38,9,2,7,4.940220000000004,103.07000000000001,4,1,5,0.5789473684210527,5,0,0.3103448275862069,146.03989999999982,1
2043111,414588,CHEMBL247840,457338,CHEMBL940929,165,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,IC50,3300.0,nM,5.48,B,9,Cc1ccc(C2(O)CCN(C(C)C(O)c3ccc4c(c3)CCC(=O)N4)CC2)cc1,DSRUIFDXWAYHHS-UHFFFAOYSA-N,5.481486060122113,394.51500000000027,29,29,5,3,4,3.2852200000000016,72.8,2,2,4,0.41379310344827586,4,1,0.4583333333333333,113.69730000000004,0
503748,250117,CHEMBL151379,208134,CHEMBL852839,11,CHEMBL204,Prothrombin,SINGLE PROTEIN,IC50,2000.0,nM,5.7,B,9,N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1)C(=O)c1nccs1,ASNCUJROIVRVPI-OALUTQOASA-N,5.698970004336019,484.6260000000002,34,34,10,4,6,2.087770000000001,141.26999999999998,2,1,3,0.3235294117647059,12,1,0.4583333333333333,131.641,0
3082630,590929,CHEMBL589376,604538,CHEMBL1074708,11727,CHEMBL2409,Bifunctional epoxide hydrolase 2,SINGLE PROTEIN,IC50,3.9,nM,8.41,B,9,N#Cc1ccccc1OC1CCN(C(=O)NCc2ccc(Cl)cc2Cl)CC1,BBUGXHIGCLAOLZ-UHFFFAOYSA-N,8.4089353929735,404.29700000000014,27,27,7,1,3,4.6180800000000035,65.36,2,1,3,0.4444444444444444,4,1,0.3,105.07770000000002,0
